ReadName,Mapping_x,MapStart_x,MapEnd_x,Strand,Mapping_y,MapStart_y,MapQual,ReadLength,MapEnd_y,StrandStatus,Region of Interest,StrandDirection
5863aa63-79e0-47f6-b128-24922b254b0e,pFB2,805,973,fwd,pFB2,805,60,167,972,Lag,Others,fwdLag
54457e26-6d17-438b-9faf-8f88b67b13ff,pFB2,807,972,fwd,pFB2,807,60,161,968,Lag,Others,fwdLag
78101a41-3bd3-4778-b625-c1af87b2c692,pFB2,807,978,fwd,pFB2,807,60,171,978,Lag,Others,fwdLag
23e8a38f-d897-448a-ad84-476a0d753bfd,pFB2,807,949,fwd,pFB2,807,56,144,951,Lag,Others,fwdLag
ae5dad40-3c35-4871-804d-2c98109553be,pFB2,807,965,rev,pFB2,807,60,160,967,Lead,Others,revLead
c9276083-35fa-4696-956c-fac67b8fed4f,pFB2,808,974,fwd,pFB2,808,60,168,976,Lag,Others,fwdLag
bee4debb-b3b3-4aa5-9d9d-51ac7752828c,pFB2,808,951,fwd,pFB2,808,60,146,954,Lag,Others,fwdLag
a29b939d-2619-421c-8e4e-90d0b3bb8146,pFB2,808,935,fwd,pFB2,808,32,140,948,Lag,Others,fwdLag
8f2ab893-533c-4933-98d4-0ca3aab68171,pFB2,808,974,rev,pFB2,808,60,166,974,Lead,Others,revLead
bbf538db-001f-4ca0-917e-b70c8d659688,pFB2,810,956,fwd,pFB2,810,60,145,955,Lag,Others,fwdLag
e0d0b6f2-1c67-463d-93fa-f0562a70f124,pFB2,817,928,fwd,pFB2,817,58,125,942,Lag,Others,fwdLag
9c510e16-0116-4b47-914c-abcd3d9789c0,pFB2,825,976,fwd,pFB2,825,60,148,973,Lag,Others,fwdLag
1b21e169-78d4-4737-bdaa-988af236c0b8,pFB2,827,964,rev,pFB2,827,59,140,967,Lead,Others,revLead
e500e0ae-7def-45a0-a1e3-916a8e2760f2,pFB2,833,965,fwd,pFB2,833,60,132,965,Lag,Others,fwdLag
509add54-e1ba-4906-9167-4243c0498055,pFB2,833,974,fwd,pFB2,833,43,168,1001,Lag,Others,fwdLag
a142d5aa-e4a0-4d82-98c2-d46db59243a3,pFB2,833,977,fwd,pFB2,833,60,156,989,Lag,Others,fwdLag
e87252ef-de6b-49b8-83c3-6fb548d20131,pFB2,845,985,fwd,pFB2,845,31,141,986,Lag,Others,fwdLag
509d35e9-754f-4ba1-9760-77f401c7a4af,pFB2,845,991,fwd,pFB2,845,60,138,983,Lag,Others,fwdLag
